Subject;Ethnicity;Age;Gender
Michael Roberts;Caucasian;70;Male
Michael Servetus;Caucasian;50;Male
Michael Tarm;Caucasian;50;Male
MiddCORE;Caucasian;20;Male
Mikael;Caucasian;25;Male
Mike McConnell;Caucasian;70;Male
Mike Ryan;Caucasian;60;Male
Miriam Salinger;Caucasian;60;Female
Moritz Lazarus;Caucasian;60;Male
Mugar Café;Caucasian;20;Female
My Darling Clementine;Caucasian;40;Male
Naomi Christina Biden;Caucasian;60;Female
NAS Award in Anthropology and Archaeology;Caucasian;30;Male
NCAA Women's Rifle Championship;Caucasian;16;Female
Nia Horowitz;Caucasian;22;Female
Nilanjana Sudeshna Lahiri;South Asian;40;Female
Norman Stockwell;Caucasian;65;Male
Notes Rec. R. Soc;Caucasian;35;Male
Nuria Rivera-Vandermyde;African;40;Female
Office of Strategic Services (OSS);Caucasian;50;Male
Olga Tokarczuk;Asian;65;Female
Oliver Wendell Holmes Sr;Caucasian;65;Male
Operation Road Runner;Asian;35;Male
Operation Safe Surfing;Caucasian;40;Male
Oppenheimer (2023 film);Caucasian;65;Male
Oscar (1997 film);Caucasian;50;Male
P. V. Gopalan;Indian;60;Male
Paul Blue;Caucasian;60;Male
Paul Coogan;Caucasian;65;Male
Paul Kaminski;Caucasian;55;Male
Paul Sandstone;Caucasian;40;Male
Paul Tukey;Caucasian;60;Male
Paula Newsome;African;30;Female
Peace Corps;African;16;Female
Peter Brooks;Caucasian;70;Male
Peter Horrocks;Caucasian;70;Male
photographer;Caucasian;60;Male
Pindar Wong;East Asian;40;Male
Pope John Paul II;Caucasian;80;Male
PorchFest;Caucasian;30;Female
Prabhakar Arati;Indian;60;Female
President of Mozambique;African;50;Male
President of Namibia;African;65;Male
President of the Royal Astronomical Society;Caucasian;60;Male
Princess Amelia;Caucasian;22;Female
Princess Louise Falls;Caucasian;30;Male
Princess Louise, Duchess of Fife;Caucasian;38;Female
Prix Cuvier;Caucasian;50;Male
Prudence;Asian;20;Female
Rachel Kyte;Caucasian;60;Female
Radenka Maric;Caucasian;40;Female
Ralph Gonsalves;African;60;Male
Ramdas Gandhi;South Asian;70;Male
Ray Charles;African;75;Male
Reed Richardson;Caucasian;60;Male
Renee K. Smith;African;30;Female
Richard A. Smith;Caucasian;50;Male
Richard Boyle, 1st Earl of Burlington;Caucasian;45;Male
Richard Clarke;Caucasian;80;Male
Richard Curtis;Caucasian;75;Male
Richard Dixon;African;25;Male
Richard Garriott;Caucasian;60;Male
Richard Greenblatt;Caucasian;50;Male
Richard III of England;Caucasian;50;Male
Richard Lugar;Caucasian;75;Male
Richard Rorty;Caucasian;75;Male
Richard Russo;Caucasian;70;Male
Rick Barry;Caucasian;45;Male
Rob Walton;Caucasian;65;Male
Robbie Coltrane;Caucasian;60;Male
Robert C. Berwick;Caucasian;50;Male
Robert Frosch;Caucasian;50;Male
Robert Underwood Johnson;Caucasian;70;Male
Roberto Orci;Caucasian;45;Male
Roderick MacKinnon;Caucasian;55;Male
Roger B. Taney;Caucasian;70;Male
Roger Gregory;Caucasian;60;Male
Roman Abramovich;Caucasian;50;Male
Ron Wyden;Caucasian;50;Male
Roy Keane;Caucasian;50;Male
Ruth Bader Ginsburg;Caucasian;87;Female
Ruth Metzger;Caucasian;22;Female
Ryan White;Caucasian;17;Male
S. L. Bhyrappa;Asian;70;Male
Salomé;Caucasian;22;Female
Saltz Internship Program;Caucasian;17;Female
Samuel Greig;Caucasian;50;Male
Samuel Krimm;Caucasian;65;Male
Samuel Langhorne Clemens;Caucasian;60;Male
Scalawags;Caucasian;60;Male
Scott Allen;Caucasian;50;Male
Scottish National Antarctic Expedition;Caucasian;40;Male
Sebastian Junger;Caucasian;50;Male
Secretary at War;Caucasian;65;Male
Secretary of State;Caucasian;55;Male
Seer;African;30;Male
Select Committees;Caucasian;60;Male
Senate Chaplain;Caucasian;60;Male
Senate Finance Committee;Caucasian;50;Male
Sergeant at Arms of the House;Caucasian;30;Male
Sergei Prokofiev;Caucasian;65;Male
Sian Leah Beilock;Caucasian;60;Female
silver standard;Caucasian;38;Female
Simon Chabuka;African;50;Male
Sina Candrian;Caucasian;25;Female
Sir Arthur Quiller-Couch;Caucasian;75;Male
Sir David Hare;Caucasian;60;Male
Sir Derek Jacobi;Caucasian;80;Male
Sir Noel Paton;Caucasian;45;Male
Sir Paul Curran;Caucasian;65;Male
Sir Thomas Lipton;Caucasian;60;Male
Sir William Boog Leishman;Caucasian;60;Male
Sir William Hamilton;Caucasian;60;Male
Society of Jesus;Caucasian;35;Male
Somerville Community Path;Caucasian;30;Female
Southern Sotho;African;30;Female
Spencer Fullerton Baird;Caucasian;60;Male
Statue of the Cavalry of the Empire;Caucasian;35;Male
Steve Furber;Caucasian;50;Male
Steve Wozniak;Caucasian;60;Male
Steven Levy;Asian;60;Male
Steven Paul Jobs;Caucasian;55;Male
Stewart Myers;Caucasian;70;Male
Strange Case of Dr Jekyll and Mr Hyde;Caucasian;35;Male
Student American Veterinary Medical Association;Asian;22;Female
Terman family;Caucasian;60;Male
Terminal 7;African;35;Female
Thaddaeus;Caucasian;45;Male
The Canterbury Tales;Caucasian;35;Male
The Fog of War;Caucasian;70;Male
The Mad Miss Manton;Caucasian;40;Male
The Middle Americans;Caucasian;30;Female
The Miracle Woman;Caucasian;28;Female
The National Post;Caucasian;50;Male
The Office;Caucasian;40;Male
The Prime Minister;Caucasian;75;Male
The Sea Change;Caucasian;35;Male
The Theologian;Caucasian;50;Male
The Wiz;African;20;Female
Theodore Parker;Caucasian;50;Male
Theodore William Richards;Caucasian;70;Male
Thierry Henry;Black;30;Male
Thomas Carlyle;Caucasian;65;Male
Thomas Malthus;Caucasian;60;Male
Thomas Sargent;Caucasian;70;Male
Tim Mott;Caucasian;50;Male
Timothy Leary;Caucasian;65;Male
Tom Coughlin;Caucasian;70;Male
Tomás Lozano-Pérez;Caucasian;50;Male
Tracy Peacock;Caucasian;50;Female
Tricia Drakes;Caucasian;50;Female
Tufts University Jackson Jills;Caucasian;12;Female
Tufts University Leonard Carmichael Society;African;20;Female
Tufts University Tufts Data Science Club;Caucasian;20;Female
Tufts University Ultimate Frisbee;Caucasian;18;Male
U.S. penny;Caucasian;56;Male
UConn Huskies;African;20;Male
UMass Cycling Club;Caucasian;30;Male
UMass Debate Society;Caucasian;17;Female
Unitarian Universalist Association of Social Justice Advocacy;Caucasian;30;Female
United States dollar;Caucasian;270;Male
Urban 13;Caucasian;65;Male
Urjit Patel;South Asian;50;Male
Ursula K. Le Guin;Caucasian;75;Female
Vally Guttmann;Caucasian;22;Female
Vincent Scully;Caucasian;75;Male
Vishnu;South Asian;30;Male
Vladimir Lenin;Caucasian;55;Male
Walker Evans;Caucasian;70;Male
Web Applications Working Group;Caucasian;30;Male
Web Transport Working Group;Caucasian;30;Female
Wendell Pierce;African;50;Male
Willa Cather;Caucasian;50;Female
Willard T. Sears;Caucasian;65;Male
William B. Washburn;Caucasian;65;Male
William Bundy;Caucasian;65;Male
William Freeman;Caucasian;55;Male
William H. Wilson;Caucasian;60;Male
William Lee;Caucasian;70;Male
William Lyon Mackenzie King;Caucasian;70;Male
William O. Baker;Caucasian;65;Male
William Price;Caucasian;60;Male
William Shaw;Caucasian;50;Male
William Younger;Caucasian;65;Male
Willie Brown;African;70;Male
Willow;Caucasian;25;Female
WomanCare Global;Caucasian;40;Female
Woody Johnson;Caucasian;70;Male
Ye Shiwen;East Asian;20;Female
Yukio Takasu;East Asian;60;Male
Yuri Rubinsky Memorial Award;Caucasian;60;Male
Zdeno Chara;Caucasian;30;Male
Émile Zola;Caucasian;50;Male
